iter	Passed	Remaining
444	5464828	9271787
445	5477138	9259556
446	5489335	9247136
447	5501626	9234873
448	5513869	9222530
449	5526015	9210025
450	5538218	9197617
451	5550676	9185633
452	5563144	9173661
453	5575324	9161216
454	5587536	9148822
455	5599424	9135903
456	5611722	9123653
457	5624033	9111425
458	5636513	9099470
459	5648708	9087053
460	5660887	9074611
461	5673153	9062310
462	5685465	9050082
463	5697826	9037931
464	5710002	9025487
465	5722008	9012776
466	5734375	9000636
467	5746662	8988370
468	5758891	8976012
469	5771133	8963675
470	5783436	8951434
471	5795734	8939184
472	5808137	8927094
473	5820428	8914833
474	5832574	8902349
475	5844904	8890148
476	5857129	8877787
477	5869500	8865646
478	5881623	8853132
479	5893937	8840906
480	5906355	8828835
481	5918647	8816575
482	5930712	8803976
483	5942950	8791637
484	5955325	8779501
485	5967447	8766990
486	5979628	8754568
487	5991804	8742141
488	6004033	8729790
489	6016227	8717391
490	6028516	8705128
491	6040709	8692728
492	6052934	8680375
493	6065396	8668359
494	6077528	8655874
495	6089911	8643744
496	6102272	8631585
497	6114485	8619214
498	6126809	8607000
499	6139105	8594747
500	6151498	8582629
501	6164023	8570694
502	6176486	8558670
503	6188683	8546276
504	6200797	8533771
505	6213013	8521405
506	6225357	8509216
507	6237639	8496941
508	6249602	8484234
509	6261849	8471913
510	6274128	8459637
511	6286330	8447256
512	6298542	8434890
513	6310802	8422588
514	6323121	8410366
515	6335058	8397636
516	6347386	8385424
517	6359735	8373242
518	6371950	8360882
519	6384305	8348706
520	6396622	8336481
521	6408967	8324291
522	6421194	8311948
523	6433420	8299603
524	6445794	8287450
525	6457786	8274806
526	6470073	8262541
527	6482333	8250242
528	6494697	8238075
529	6506881	8225680
530	6519196	8213450
531	6531434	8201124
532	6543684	8188812
533	6555821	8176361
534	6568055	8164031
535	6580197	8151587
536	6592274	8139064
537	6604543	8126780
538	6616730	8114395
539	6628978	8102084
540	6641456	8090054
541	6653620	8077642
542	6665869	8065334
543	6678171	8053089
544	6690374	8040725
545	6702748	8028566
546	6714973	8016229
547	6727390	8004121
548	6739609	7991777
549	6752061	7979708
550	6764387	7967490
551	6776747	7955312
552	6788946	7942944
553	6801171	7930607
554	6813596	7918504
555	6825959	7906326
556	6838112	7893907
557	6850264	7881486
558	6862589	7869265
559	6874721	7856824
560	6886993	7844543
561	6899433	7832453
562	6911667	7820128
563	6924080	7808005
564	6936454	7795838
565	6948751	7783583
566	6960905	7771169
567	6973246	7758963
568	6985445	7746601
569	6997719	7734321
570	7010031	7722084
571	7022336	7709837
572	7034656	7697608
573	7047034	7685441
574	7059389	7673249
575	7071752	7661064
576	7083911	7648660
577	7096304	7636507
578	7108498	7624140
579	7120718	7611802
580	7132949	7599476
581	7144975	7586932
582	7157286	7574692
583	7169511	7562361
584	7181821	7550120
585	7194257	7538010
586	7206421	7525615
587	7218673	7513312
588	7230846	7500928
589	7243043	7488570
590	7255240	7476212
591	7267561	7463982
592	7279763	7451629
593	7291904	7439215
594	7304118	7426876
595	7316498	7414706
596	7328467	7402120
597	7340841	7389944
598	7353479	7378031
599	7365689	7365689
600	7378143	7353591
601	7390896	7341787
602	7403956	7330285
603	7417085	7318845
604	7429841	7307034
605	7442954	7295569
606	7456106	7284136
607	7469263	7272704
608	7482379	7261225
609	7495424	7249673
610	7508159	7237816
611	7520611	7225685
612	7533132	7213619
613	7545619	7201519
614	7557738	7189068
615	7569824	7176586
616	7582128	7164312
617	7594391	7151999
618	7606461	7139505
619	7618685	7127157
620	7630930	7114829
621	7643492	7102795
622	7655675	7090409
623	7667948	7078106
624	7680071	7065666
625	7692295	7053318
626	7704510	7040964
627	7716771	7028651
628	7729039	7016345
629	7741169	7003915
630	7753333	6991516
631	7765492	6979113
632	7777693	6966749
633	7789878	6954371
634	7802151	6942071
635	7814389	6929741
